rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Zest Sales & Lettings,https://www.zestlovesproperty.com/,82,81,100,78,53,80,100
2,Allen & Harris Bath,https://www.allenandharris.co.uk/estate-agents/bath,73,55,88,78,42,80,100
3,Savills Bath,https://www.savills.co.uk/estate-agents/south-west-england/somerset/savills-bath.aspx,73,69,63,80,38,100,100
4,Madison Oakley,https://www.madisonoakley.co.uk/,70,75,88,78,38,60,67
5,Martin & Co Bath,https://www.martinco.com/estate-agents-and-letting-agents/branch/bath/,70,56,100,79,46,40,100
6,Cobb Farr,https://www.cobbfarr.com/,68,68,100,79,21,60,67
7,Strattons and Partners,https://www.strattonsandpartners.com/,67,76,63,78,31,60,100
8,Bath Stone Property,https://www.bathstoneproperty.com/,64,76,100,78,46,0,67
9,Winkworth Bath,https://www.winkworth.co.uk/estate-agents/bath,64,69,88,77,50,0,100
10,Whiteley Helyar,https://whiteleyhelyar.co.uk/,63,77,100,80,37,20,33
11,Aspire To Move,https://aspiretomove.co.uk/,61,73,75,80,38,20,67
12,Fine & Country Bath,https://www.fineandcountry.co.uk/bath-estate-agents,58,55,88,68,42,40,33
13,Justin Hunter,https://www.justin-hunter.co.uk/,58,32,63,80,51,60,67
14,Crisp Cowley,https://www.crispcowley.co.uk/,56,64,75,78,42,0,67
15,Nash & Co,http://www.nashandcobath.co.uk/,48,62,63,80,26,0,33
