rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,CJ Hole,https://www.cjhole.co.uk/,78,77,100,79,52,80,67
2,Ocean Estate Agents,https://www.oceanhome.co.uk/,70,71,63,79,61,80,67
3,Andrews Property Group,https://www.andrewsonline.co.uk/,64,69,88,60,33,40,100
4,Allen & Harris,https://www.allenandharris.co.uk/,63,74,88,78,37,20,67
5,Boardwalk Property,https://www.boardwalkpropertyco.com/,60,73,75,80,36,40,33
6,Elephant Estate Agents,https://www.elephantlovesbristol.co.uk/,59,77,88,80,26,20,33
7,Knight Frank Bristol,https://www.knightfrank.co.uk/offices/bristol-estate-agents,59,45,88,78,32,60,33
8,Richard Harding,https://www.richardharding.co.uk/,59,63,88,80,18,20,67
9,Chappell & Matthews,https://www.chappellandmatthews.co.uk/,58,77,88,79,41,0,33
10,Hollis Morgan,https://www.hollismorgan.co.uk/,57,72,75,79,14,0,100
11,Maggs & Allen,https://www.maggsandallen.co.uk/,54,67,75,79,18,0,67
12,Besley Hill,https://www.besleyhill.co.uk/,53,84,88,61,0,0,67
13,Leese & Nagle,https://www.leeseandnagle.co.uk/,52,58,100,67,0,0,67
14,Goodman & Lilley,https://goodmanlilley.co.uk/,51,78,50,79,21,0,67
15,Hydes of Bristol,https://www.hydes.co.uk/,49,51,100,22,33,20,67
16,Connells Bristol,https://www.connells.co.uk/estate-agents/bristol,42,41,50,76,33,0,33
17,Edison Ford,https://www.edisonford.co.uk/,40,59,75,68,0,0,0
18,Saunders Estate Agents,https://www.saundersco.co.uk/,38,99,38,,0,0,33
